nFeature_RNA	nCount_RNA	stage	version
1529	8016	larval	version_1
1487	6577	larval	version_1
2728	17918	larval	version_1
1538	5254	larval	version_1
1477	5248	larval	version_1
2743	17342	larval	version_1
2289	12445	larval	version_1
1729	8990	larval	version_1
1488	5274	larval	version_1
2018	10338	larval	version_1
1718	10881	larval	version_1
2450	12208	larval	version_1
1816	9218	larval	version_1
2319	11779	larval	version_1
2088	10434	larval	version_1
2042	9949	larval	version_1
2512	13323	larval	version_1
1544	4563	larval	version_1
1407	4783	larval	version_1
1743	8470	larval	version_1
2664	15563	larval	version_1
2543	13097	larval	version_1
1916	10000	larval	version_1
1567	4858	larval	version_1
1583	7280	larval	version_1
2730	15979	larval	version_1
1100	4927	larval	version_1
2749	16829	larval	version_1
1502	5703	larval	version_1
1640	7342	larval	version_1
3391	21392	larval	version_1
1806	6430	larval	version_1
1638	5903	larval	version_1
1438	6009	larval	version_1
1714	7075	larval	version_1
1366	5390	larval	version_1
764	4430	larval	version_1
2570	15569	larval	version_1
1866	8412	larval	version_1
2423	13148	larval	version_1
921	3490	larval	version_1
2196	10560	larval	version_1
2177	12273	larval	version_1
1157	5365	larval	version_1
1502	4469	larval	version_1
2158	10016	larval	version_1
2424	12985	larval	version_1
2826	16327	larval	version_1
3258	20935	larval	version_1
2550	18157	larval	version_1
1336	5319	larval	version_1
1338	4227	larval	version_1
1051	3220	larval	version_1
1564	5240	larval	version_1
1535	7579	larval	version_1
1843	10949	larval	version_1
3213	22626	larval	version_1
2298	11652	larval	version_1
1262	5513	larval	version_1
1934	9830	larval	version_1
1939	8092	larval	version_1
3165	18445	larval	version_1
1906	9256	larval	version_1
810	2698	larval	version_1
2064	12318	larval	version_1
2804	15016	larval	version_1
2409	12991	larval	version_1
2448	14339	larval	version_1
1942	9318	larval	version_1
3103	17128	larval	version_1
2575	14271	larval	version_1
1105	7431	larval	version_1
1372	7046	larval	version_1
1991	9119	larval	version_1
2338	12521	larval	version_1
2494	15785	larval	version_1
2986	16129	larval	version_1
2047	6514	larval	version_1
2393	12666	larval	version_1
2357	14881	larval	version_1
2405	12794	larval	version_1
2830	18089	larval	version_1
1401	4628	larval	version_1
919	3035	larval	version_1
1345	4635	larval	version_1
3028	16272	larval	version_1
1631	6648	larval	version_1
2998	18931	larval	version_1
1399	3685	larval	version_1
2726	16954	larval	version_1
2738	13359	larval	version_1
2401	14619	larval	version_1
2910	17120	larval	version_1
1022	3925	larval	version_1
2438	18182	larval	version_1
3703	22832	larval	version_1
2925	17462	larval	version_1
965	4566	larval	version_1
1730	7086	larval	version_1
1335	4710	larval	version_1
2514	13697	larval	version_1
1865	9214	larval	version_1
2512	12609	larval	version_1
2472	14048	larval	version_1
2764	19061	larval	version_1
948	4636	larval	version_1
1493	6554	larval	version_1
1748	5211	larval	version_1
2327	11865	larval	version_1
1506	4691	larval	version_1
2898	17620	larval	version_1
2080	6463	larval	version_1
1852	8124	larval	version_1
1478	4364	larval	version_1
2378	12860	larval	version_1
2565	16790	larval	version_1
2129	12744	larval	version_1
2800	16054	larval	version_1
2611	14686	larval	version_1
2383	14142	larval	version_1
2193	12007	larval	version_1
2169	11504	larval	version_1
1833	5231	larval	version_1
1892	9065	larval	version_1
2272	10735	larval	version_1
1268	4303	larval	version_1
3065	15073	larval	version_1
2715	17882	larval	version_1
3068	19556	larval	version_1
2464	12448	larval	version_1
2882	15500	larval	version_1
2665	15565	larval	version_1
2203	10523	larval	version_1
2702	15978	larval	version_1
2553	15857	larval	version_1
3536	25923	larval	version_1
1392	6217	larval	version_1
1403	4181	larval	version_1
2717	19722	larval	version_1
2523	14226	larval	version_1
2878	14693	larval	version_1
683	2596	larval	version_1
1413	4369	larval	version_1
1457	6770	larval	version_1
1703	8102	larval	version_1
2513	15433	larval	version_1
2619	13332	larval	version_1
1535	4909	larval	version_1
2948	16380	larval	version_1
2450	12409	larval	version_1
1501	4802	larval	version_1
1111	5311	larval	version_1
3257	21717	larval	version_1
1765	7082	larval	version_1
1937	10308	larval	version_1
3112	17781	larval	version_1
2397	12068	larval	version_1
3141	19327	larval	version_1
2611	14210	larval	version_1
1198	4282	larval	version_1
3029	19741	larval	version_1
3308	19461	larval	version_1
2532	12676	larval	version_1
2344	14187	larval	version_1
1865	8057	larval	version_1
1378	4826	larval	version_1
1349	4157	larval	version_1
988	3006	larval	version_1
3360	21357	larval	version_1
1356	5364	larval	version_1
1563	7696	larval	version_1
986	4143	larval	version_1
2454	14617	larval	version_1
2871	17422	larval	version_1
2776	15250	larval	version_1
2567	15838	larval	version_1
2991	17146	larval	version_1
2703	14514	larval	version_1
2679	14182	larval	version_1
2344	14329	larval	version_1
